dirname	naigai	page_type	right_box_type	homen	country	first_level	second_level	senmon_name_ja	senmon_name_en	URL	Dest	Country	City	page_code	page_color	page_caption	page_caption_sp	map_not_display	map_default_display	csv_photo	csv_recommend	csv_free_area	csv_special	csv_keyword	csv_tourist_information	csv_yobi2	csv_yobi3	key_jiyuzin_tour_data_kyoten	key_jiyuzin_tour_data_csv_path	key_jiyuzin_tour_data_article_title	key_bus_tour_data_kyoten	key_bus_tour_data_csv_path	key_bus_tour_data_article_title	bus_tour_url	tag_country_common_info	tag_related_links	genchi_blog_disp_num_pc	genchi_blog_disp_num_sp	dp_link	dp_link_sp	search_mokuteki_country	search_mokuteki_country_unlimited_flag	search_mokuteki_country_initial_selection	blogGenchi_url	heritage_url	blog_new_rss_url	best7_display_flag	genchi_blog_display_flag	country_common_info_display_flag	sightseeing_info_display_flag	guide_more_url	guide_path	first_level_name
URI	内外	ページタイプA： ：B：DS)	階層タイプ	ディレクトリ名1(方面)	ディレクトリ名2(国)	ディレクトリ名2（国、都道府県）	ディレクトリ名3（都市、観光地）	専門店名	専門店名	URL	Dest	Country	City	page_code	page_color	page_caption	page_caption_sp	マップ非表示フラグ（0：表示,1：非表示）	マップのデフォルト表示	写真CSV	おすすめCSV	拠点自由枠のCSV	拠点特集枠のCSV	人気のキーワードCSV	観光情報	csv_yobi2	csv_yobi3	key_jiyuzin_tour_data_kyoten	key_jiyuzin_tour_data_csv_path	key_jiyuzin_tour_data_article_title	key_bus_tour_data_kyoten	key_bus_tour_data_csv_path	key_bus_tour_data_article_title	bus_tour_url	tag_country_common_info	tag_related_links	genchi_blog_disp_num_pc	genchi_blog_disp_num_sp	dp_link	dp_link_sp	検索枠目的地（国）	目的地-国の選択制限なしフラグ	初期選択させる国名	現地ブログURL	世界遺産リンク	新着ブログRSSURL	ベスト7表示フラグ	現地ブログ表示フラグ	基本情報表示フラグ	観光情報表示フラグ		guide_path	first_level_name
/asia	i	A	homen	asia/		asia/		アジア	Asia	asia/	AAS			AAS	set01	アジア旅行・アジアツアーなら阪急交通社。発展と変貌めざましい中国、エネルギッシュな韓国・台湾。遺跡とリゾートで人気のタイやベトナム、モルディブなど、アジアは見所いっぱいです。	アジア旅行・ツアーなら阪急交通社。発展と変貌めざましい中国、エネルギッシュな韓国・台湾などアジアは見所いっぱいです。	0	中国	/var/www/html/cms/articles/contents_i/csv/csv_asia_ttl2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_asia_tour2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_asia_free_area2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_asia_sp2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_asia_key2014.csv	/var/www/html/hankyu-travel.com/attending/senmon_kaigai/setting/master_senmon_kaigai_guide_2017.csv												5	5	http://www.hankyu-travel.com/dp/china/?area=ASI	http://www.hankyu-travel.com/dp/china/?area=ASI				/kaigai/asia/index.xml	http://www.hankyu-travel.com/heritage/	/rss/asia/index.xml	0	1	0	0			アジア
/china	i	A	country	asia/	china/	china/		中国	China	china/	AAS	CN,MN		AAS-CN_MN	set01	中国旅行・中国ツアーなら阪急交通社。中国の中枢・北京。目ざましい発展を続ける上海。シルクロードの起点で兵馬俑坑博物館で有名な西安。山水画の世界が広がる桂林。中国は見所いっぱいです。	中国旅行・ツアーなら阪急交通社。中国の中枢・北京をはじめ目ざましい発展を続ける上海など中国は見所いっぱいです。	0		/var/www/html/cms/articles/contents_i/csv/csv_asia_ttl2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_tour2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_free_area2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_sp2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_key2014.csv	/var/www/html/hankyu-travel.com/attending/senmon_kaigai/setting/master_senmon_kaigai_guide_2017.csv										<ul class='basic-information clear color-blue font-14'><li><a href='http://www.hankyu-travel.com/guide/china/country.php'><p class='list-inline'><i class='icon icon-binfo1 icon-binfo mid'></i><span class='mid'>概要・気候・祝祭日</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/money.php'><p class='list-inline'><i class='icon icon-binfo2 icon-binfo mid'></i><span class='mid'>通貨・両替</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/money.php#guide_money_plug'><p class='list-inline'><i class='icon icon-binfo3 icon-binfo mid'></i><span class='mid'>電圧・プラグ</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/immigration.php'><p class='list-inline'><i class='icon icon-binfo4 icon-binfo mid'></i><span class='mid'>入国・出国</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/phone.php'><p class='list-inline'><i class='icon icon-binfo5 icon-binfo mid'></i><span class='mid'>水事情</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/phone.php#guide_phone_phone'><p class='list-inline'><i class='icon icon-binfo6 icon-binfo mid'></i><span class='mid'>電話・郵便</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/trouble.php'><p class='list-inline'><i class='icon icon-binfo7 icon-binfo mid'></i><span class='mid'>トラブル・治安</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/trouble.php#guide_trouble_manner'><p class='list-inline'><i class='icon icon-binfo8 icon-binfo mid'></i><span class='mid'>マナー</span></p></a></li></ul>	<h2 class='list-inline main-title mb20 mainBgClr'><span class='mid main-title-txt'>中国の関連リンク<small>※外部サイトへ移動します</small></span></h2><ul class='ft-list-menu mb30'><li><a href='http://www.china-embassy.or.jp/jpn/' target='_blank'>中華人民共和国大使館</a></li><li><a href='http://www.cnta-osaka.jp/' target='_blank'>中国国家観光局</a></li></ul>	5	5	http://www.hankyu-travel.com/dp/china/?area=ASI&country=CN	http://www.hankyu-travel.com/dp/china/?area=ASI&country=CN	中国,モンゴル			/kaigai/asia/china/index.xml	http://www.hankyu-travel.com/heritage/china/	/rss/china/index.xml	1	1	1	0		/guide/china/	中国
/china/beijing	i	A	city	asia/	china/	china/	beijing/	北京	Beijing	china/beijing/	AAS	CN	PEK	AAS-CN-PEK	set01	北京旅行・北京ツアーなら阪急交通社。変貌を遂げる千年の都・北京。中国の顔ともいうべき天安門広場や壮麗な故宮博物院、絢爛たる歴史を物語る万里の長城など、北京は見所いっぱいです。	北京旅行・ツアーなら阪急交通社。壮麗な故宮博物院、絢爛たる歴史を物語る万里の長城など、北京は見所いっぱいです。	0		/var/www/html/cms/articles/contents_i/csv/csv_asia_ttl2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_tour2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_free_area2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_sp2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_key2014.csv	/var/www/html/hankyu-travel.com/attending/senmon_kaigai/setting/master_senmon_kaigai_guide_2017.csv										<ul class='basic-information clear color-blue font-14'><li><a href='http://www.hankyu-travel.com/guide/china/country.php'><p class='list-inline'><i class='icon icon-binfo1 icon-binfo mid'></i><span class='mid'>概要・気候・祝祭日</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/money.php'><p class='list-inline'><i class='icon icon-binfo2 icon-binfo mid'></i><span class='mid'>通貨・両替</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/money.php#guide_money_plug'><p class='list-inline'><i class='icon icon-binfo3 icon-binfo mid'></i><span class='mid'>電圧・プラグ</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/immigration.php'><p class='list-inline'><i class='icon icon-binfo4 icon-binfo mid'></i><span class='mid'>入国・出国</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/phone.php'><p class='list-inline'><i class='icon icon-binfo5 icon-binfo mid'></i><span class='mid'>水事情</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/phone.php#guide_phone_phone'><p class='list-inline'><i class='icon icon-binfo6 icon-binfo mid'></i><span class='mid'>電話・郵便</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/trouble.php'><p class='list-inline'><i class='icon icon-binfo7 icon-binfo mid'></i><span class='mid'>トラブル・治安</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/trouble.php#guide_trouble_manner'><p class='list-inline'><i class='icon icon-binfo8 icon-binfo mid'></i><span class='mid'>マナー</span></p></a></li></ul>	<h2 class='list-inline main-title mb20 mainBgClr'><span class='mid main-title-txt'>中国の関連リンク<small>※外部サイトへ移動します</small></span></h2><ul class='ft-list-menu mb30'><li><a href='http://www.china-embassy.or.jp/jpn/' target='_blank'>中華人民共和国大使館</a></li><li><a href='http://www.cnta-osaka.jp/' target='_blank'>中国国家観光局</a></li></ul>	3	5	http://www.hankyu-travel.com/dp/china/?area=ASI&country=CN&airport=BJS	http://www.hankyu-travel.com/dp/china/?area=ASI&country=CN&airport=BJS				/kaigai/asia/china/index.xml	http://www.hankyu-travel.com/heritage/china/		0	1	1	1	http://www.hankyu-travel.com/guide/china/beijing.php		中国
/china/shanghai	i	A	city	asia/	china/	china/	shanghai/	上海	Shanghai	china/shanghai/	AAS	CN	SHA,CN2	AAS-CN-SHA_CN2	set02	上海旅行・上海ツアーなら阪急交通社。レトロとモダンが錯綜する街・上海。租界時代の歴史建築が並ぶ外灘、下町情緒あふれる豫園商城、高層ビルが建つ浦東など、上海は見所いっぱいです。	上海旅行・ツアーなら阪急交通社。租界時代の歴史建築が並ぶ外灘、下町情緒あふれる豫園商城など、上海は見所いっぱいです。	0		/var/www/html/cms/articles/contents_i/csv/csv_asia_ttl2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_tour2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_free_area2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_sp2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_key2014.csv	/var/www/html/hankyu-travel.com/attending/senmon_kaigai/setting/master_senmon_kaigai_guide_2017.csv										<ul class='basic-information clear color-blue font-14'><li><a href='http://www.hankyu-travel.com/guide/china/country.php'><p class='list-inline'><i class='icon icon-binfo1 icon-binfo mid'></i><span class='mid'>概要・気候・祝祭日</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/money.php'><p class='list-inline'><i class='icon icon-binfo2 icon-binfo mid'></i><span class='mid'>通貨・両替</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/money.php#guide_money_plug'><p class='list-inline'><i class='icon icon-binfo3 icon-binfo mid'></i><span class='mid'>電圧・プラグ</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/immigration.php'><p class='list-inline'><i class='icon icon-binfo4 icon-binfo mid'></i><span class='mid'>入国・出国</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/phone.php'><p class='list-inline'><i class='icon icon-binfo5 icon-binfo mid'></i><span class='mid'>水事情</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/phone.php#guide_phone_phone'><p class='list-inline'><i class='icon icon-binfo6 icon-binfo mid'></i><span class='mid'>電話・郵便</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/trouble.php'><p class='list-inline'><i class='icon icon-binfo7 icon-binfo mid'></i><span class='mid'>トラブル・治安</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/trouble.php#guide_trouble_manner'><p class='list-inline'><i class='icon icon-binfo8 icon-binfo mid'></i><span class='mid'>マナー</span></p></a></li></ul>	<h2 class='list-inline main-title mb20 mainBgClr'><span class='mid main-title-txt'>中国の関連リンク<small>※外部サイトへ移動します</small></span></h2><ul class='ft-list-menu mb30'><li><a href='http://www.china-embassy.or.jp/jpn/' target='_blank'>中華人民共和国大使館</a></li><li><a href='http://www.cnta-osaka.jp/' target='_blank'>中国国家観光局</a></li></ul>	3	5	http://www.hankyu-travel.com/dp/china/?area=ASI&country=CN	http://www.hankyu-travel.com/dp/china/?area=ASI&country=CN				/kaigai/asia/china/index.xml	http://www.hankyu-travel.com/heritage/china/		0	1	1	1	http://www.hankyu-travel.com/guide/china/shanghai.php		中国
/china/dalian	i	A	city	asia/	china/	china/	dalian/	大連	Dalian	china/dalian/	AAS	CN	DLC	AAS-CN-DLC	set03	大連旅行・大連ツアーなら阪急交通社。春、アカシア咲く「北の真珠」大連。大連の中心・中山広場や郷愁誘う旧大和ホテルや旧日本人街、ビーチが広がる星海公園など、大連は見所いっぱいです。	大連旅行・ツアーなら阪急交通社。大連の中心・中山広場や郷愁誘う旧大和ホテルや旧日本人街など、大連は見所いっぱいです。	0		/var/www/html/cms/articles/contents_i/csv/csv_asia_ttl2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_tour2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_free_area2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_sp2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_key2014.csv	/var/www/html/hankyu-travel.com/attending/senmon_kaigai/setting/master_senmon_kaigai_guide_2017.csv										<ul class='basic-information clear color-blue font-14'><li><a href='http://www.hankyu-travel.com/guide/china/country.php'><p class='list-inline'><i class='icon icon-binfo1 icon-binfo mid'></i><span class='mid'>概要・気候・祝祭日</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/money.php'><p class='list-inline'><i class='icon icon-binfo2 icon-binfo mid'></i><span class='mid'>通貨・両替</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/money.php#guide_money_plug'><p class='list-inline'><i class='icon icon-binfo3 icon-binfo mid'></i><span class='mid'>電圧・プラグ</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/immigration.php'><p class='list-inline'><i class='icon icon-binfo4 icon-binfo mid'></i><span class='mid'>入国・出国</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/phone.php'><p class='list-inline'><i class='icon icon-binfo5 icon-binfo mid'></i><span class='mid'>水事情</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/phone.php#guide_phone_phone'><p class='list-inline'><i class='icon icon-binfo6 icon-binfo mid'></i><span class='mid'>電話・郵便</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/trouble.php'><p class='list-inline'><i class='icon icon-binfo7 icon-binfo mid'></i><span class='mid'>トラブル・治安</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/trouble.php#guide_trouble_manner'><p class='list-inline'><i class='icon icon-binfo8 icon-binfo mid'></i><span class='mid'>マナー</span></p></a></li></ul>	<h2 class='list-inline main-title mb20 mainBgClr'><span class='mid main-title-txt'>中国の関連リンク<small>※外部サイトへ移動します</small></span></h2><ul class='ft-list-menu mb30'><li><a href='http://www.china-embassy.or.jp/jpn/' target='_blank'>中華人民共和国大使館</a></li><li><a href='http://www.cnta-osaka.jp/' target='_blank'>中国国家観光局</a></li></ul>	1	5	http://www.hankyu-travel.com/dp/china/?area=ASI&country=CN&airport=DLC	http://www.hankyu-travel.com/dp/china/?area=ASI&country=CN&airport=DLC				/kaigai/asia/china/index.xml			0	1	1	1	http://www.hankyu-travel.com/guide/china/dalian.php		中国
/china/hangzhou	i	A	city	asia/	china/	china/	hangzhou/	杭州	Hangzhou	china/hangzhou/	AAS	CN	HGH	AAS-CN-HGH	set04	杭州旅行・杭州ツアーなら阪急交通社。「天に天堂あり、地に蘇杭あり」と謳われた中国八大古都のひとつ杭州。風光明媚な西湖や月輪山の上にそびえ立つ六和塔など、杭州は見所いっぱいです。	杭州旅行・ツアーなら阪急交通社。風光明媚な西湖や月輪山の上にそびえ立つ六和塔など、杭州は見所いっぱいです。	0		/var/www/html/cms/articles/contents_i/csv/csv_asia_ttl2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_tour2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_free_area2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_sp2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_key2014.csv	/var/www/html/hankyu-travel.com/attending/senmon_kaigai/setting/master_senmon_kaigai_guide_2017.csv										<ul class='basic-information clear color-blue font-14'><li><a href='http://www.hankyu-travel.com/guide/china/country.php'><p class='list-inline'><i class='icon icon-binfo1 icon-binfo mid'></i><span class='mid'>概要・気候・祝祭日</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/money.php'><p class='list-inline'><i class='icon icon-binfo2 icon-binfo mid'></i><span class='mid'>通貨・両替</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/money.php#guide_money_plug'><p class='list-inline'><i class='icon icon-binfo3 icon-binfo mid'></i><span class='mid'>電圧・プラグ</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/immigration.php'><p class='list-inline'><i class='icon icon-binfo4 icon-binfo mid'></i><span class='mid'>入国・出国</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/phone.php'><p class='list-inline'><i class='icon icon-binfo5 icon-binfo mid'></i><span class='mid'>水事情</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/phone.php#guide_phone_phone'><p class='list-inline'><i class='icon icon-binfo6 icon-binfo mid'></i><span class='mid'>電話・郵便</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/trouble.php'><p class='list-inline'><i class='icon icon-binfo7 icon-binfo mid'></i><span class='mid'>トラブル・治安</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/trouble.php#guide_trouble_manner'><p class='list-inline'><i class='icon icon-binfo8 icon-binfo mid'></i><span class='mid'>マナー</span></p></a></li></ul>	<h2 class='list-inline main-title mb20 mainBgClr'><span class='mid main-title-txt'>中国の関連リンク<small>※外部サイトへ移動します</small></span></h2><ul class='ft-list-menu mb30'><li><a href='http://www.china-embassy.or.jp/jpn/' target='_blank'>中華人民共和国大使館</a></li><li><a href='http://www.cnta-osaka.jp/' target='_blank'>中国国家観光局</a></li></ul>	1	5	http://www.hankyu-travel.com/dp/china/?area=ASI&country=CN&airport=HGH	http://www.hankyu-travel.com/dp/china/?area=ASI&country=CN&airport=HGH				/kaigai/asia/china/index.xml	http://www.hankyu-travel.com/heritage/china/		0	1	1	1			中国
/china/chengdu	i	A	city	asia/	china/	china/	chengdu/	成都	Chengdu	china/chengdu/	AAS	CN	CTU	AAS-CN-CTU	set05	成都旅行・成都ツアーなら阪急交通社。パンダのふるさと四川省の成都。人気のパンダや本場の四川料理。三国志ゆかりの武侯祠や詩人・杜甫が暮らした杜甫草堂など、成都は見所いっぱいです。	成都旅行・ツアーなら阪急交通社。人気のパンダや本場の四川料理、三国志ゆかりの武侯祠など、成都は見所いっぱいです。	0		/var/www/html/cms/articles/contents_i/csv/csv_asia_ttl2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_tour2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_free_area2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_sp2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_key2014.csv	/var/www/html/hankyu-travel.com/attending/senmon_kaigai/setting/master_senmon_kaigai_guide_2017.csv										<ul class='basic-information clear color-blue font-14'><li><a href='http://www.hankyu-travel.com/guide/china/country.php'><p class='list-inline'><i class='icon icon-binfo1 icon-binfo mid'></i><span class='mid'>概要・気候・祝祭日</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/money.php'><p class='list-inline'><i class='icon icon-binfo2 icon-binfo mid'></i><span class='mid'>通貨・両替</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/money.php#guide_money_plug'><p class='list-inline'><i class='icon icon-binfo3 icon-binfo mid'></i><span class='mid'>電圧・プラグ</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/immigration.php'><p class='list-inline'><i class='icon icon-binfo4 icon-binfo mid'></i><span class='mid'>入国・出国</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/phone.php'><p class='list-inline'><i class='icon icon-binfo5 icon-binfo mid'></i><span class='mid'>水事情</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/phone.php#guide_phone_phone'><p class='list-inline'><i class='icon icon-binfo6 icon-binfo mid'></i><span class='mid'>電話・郵便</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/trouble.php'><p class='list-inline'><i class='icon icon-binfo7 icon-binfo mid'></i><span class='mid'>トラブル・治安</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/trouble.php#guide_trouble_manner'><p class='list-inline'><i class='icon icon-binfo8 icon-binfo mid'></i><span class='mid'>マナー</span></p></a></li></ul>	<h2 class='list-inline main-title mb20 mainBgClr'><span class='mid main-title-txt'>中国の関連リンク<small>※外部サイトへ移動します</small></span></h2><ul class='ft-list-menu mb30'><li><a href='http://www.china-embassy.or.jp/jpn/' target='_blank'>中華人民共和国大使館</a></li><li><a href='http://www.cnta-osaka.jp/' target='_blank'>中国国家観光局</a></li></ul>	1	5	http://www.hankyu-travel.com/dp/china/?area=ASI&country=CN&airport=CTU	http://www.hankyu-travel.com/dp/china/?area=ASI&country=CN&airport=CTU				/kaigai/asia/china/index.xml	http://www.hankyu-travel.com/heritage/china/		0	1	1	1	http://www.hankyu-travel.com/guide/china/shisen.php		中国
/china/xian	i	A	city	asia/	china/	china/	xian/	西安	Xian	china/xian/	AAS	CN	SIA	AAS-CN-SIA	set06	西安旅行・西安ツアーなら阪急交通社。シルクロードの起点となった古都・西安。三蔵法師ゆかりの大雁塔や西安城壁。世界遺産の秦始皇帝陵と兵馬俑坑博物館など、西安は見所いっぱいです。	西安旅行・ツアーなら阪急交通社。三蔵法師ゆかりの大雁塔や西安城壁。世界遺産の秦始皇帝陵など、西安は見所いっぱいです。	0		/var/www/html/cms/articles/contents_i/csv/csv_asia_ttl2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_tour2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_free_area2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_sp2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_key2014.csv	/var/www/html/hankyu-travel.com/attending/senmon_kaigai/setting/master_senmon_kaigai_guide_2017.csv										<ul class='basic-information clear color-blue font-14'><li><a href='http://www.hankyu-travel.com/guide/china/country.php'><p class='list-inline'><i class='icon icon-binfo1 icon-binfo mid'></i><span class='mid'>概要・気候・祝祭日</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/money.php'><p class='list-inline'><i class='icon icon-binfo2 icon-binfo mid'></i><span class='mid'>通貨・両替</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/money.php#guide_money_plug'><p class='list-inline'><i class='icon icon-binfo3 icon-binfo mid'></i><span class='mid'>電圧・プラグ</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/immigration.php'><p class='list-inline'><i class='icon icon-binfo4 icon-binfo mid'></i><span class='mid'>入国・出国</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/phone.php'><p class='list-inline'><i class='icon icon-binfo5 icon-binfo mid'></i><span class='mid'>水事情</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/phone.php#guide_phone_phone'><p class='list-inline'><i class='icon icon-binfo6 icon-binfo mid'></i><span class='mid'>電話・郵便</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/trouble.php'><p class='list-inline'><i class='icon icon-binfo7 icon-binfo mid'></i><span class='mid'>トラブル・治安</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/trouble.php#guide_trouble_manner'><p class='list-inline'><i class='icon icon-binfo8 icon-binfo mid'></i><span class='mid'>マナー</span></p></a></li></ul>	<h2 class='list-inline main-title mb20 mainBgClr'><span class='mid main-title-txt'>中国の関連リンク<small>※外部サイトへ移動します</small></span></h2><ul class='ft-list-menu mb30'><li><a href='http://www.china-embassy.or.jp/jpn/' target='_blank'>中華人民共和国大使館</a></li><li><a href='http://www.cnta-osaka.jp/' target='_blank'>中国国家観光局</a></li></ul>	1	5	http://www.hankyu-travel.com/dp/china/?area=ASI&country=CN&airport=XIY	http://www.hankyu-travel.com/dp/china/?area=ASI&country=CN&airport=XIY				/kaigai/asia/china/index.xml	http://www.hankyu-travel.com/heritage/china/heibayou.php		0	1	1	1	http://www.hankyu-travel.com/guide/china/xian.php		中国
/china/jiuzhaigou	i	A	city	asia/	china/	china/	jiuzhaigou/	九寨溝・黄龍	Jiuzhaigou ・ Huanglong	china/jiuzhaigou/	AAS	CN	ZZG,HXO	AAS-CN-ZZG_HXO	set07	九寨溝・黄龍旅行、九寨溝・黄龍ツアーなら阪急交通社。豊潤な水と陽光が色彩を奏でる、世界遺産の九寨溝と黄龍。神秘の湖沼群や雄大な滝など、九寨溝・黄龍は見所いっぱいです。	九寨溝・黄龍旅行 ツアーなら阪急交通社。豊潤な水と陽光が色彩を奏でる神秘の湖沼群をはじめ九寨溝・黄龍は見所いっぱいです。	0		/var/www/html/cms/articles/contents_i/csv/csv_asia_ttl2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_tour2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_free_area2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_sp2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_china_key2014.csv	/var/www/html/hankyu-travel.com/attending/senmon_kaigai/setting/master_senmon_kaigai_guide_2017.csv										<ul class='basic-information clear color-blue font-14'><li><a href='http://www.hankyu-travel.com/guide/china/country.php'><p class='list-inline'><i class='icon icon-binfo1 icon-binfo mid'></i><span class='mid'>概要・気候・祝祭日</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/money.php'><p class='list-inline'><i class='icon icon-binfo2 icon-binfo mid'></i><span class='mid'>通貨・両替</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/money.php#guide_money_plug'><p class='list-inline'><i class='icon icon-binfo3 icon-binfo mid'></i><span class='mid'>電圧・プラグ</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/immigration.php'><p class='list-inline'><i class='icon icon-binfo4 icon-binfo mid'></i><span class='mid'>入国・出国</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/phone.php'><p class='list-inline'><i class='icon icon-binfo5 icon-binfo mid'></i><span class='mid'>水事情</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/phone.php#guide_phone_phone'><p class='list-inline'><i class='icon icon-binfo6 icon-binfo mid'></i><span class='mid'>電話・郵便</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/trouble.php'><p class='list-inline'><i class='icon icon-binfo7 icon-binfo mid'></i><span class='mid'>トラブル・治安</span></p></a></li><li><a href='http://www.hankyu-travel.com/guide/china/trouble.php#guide_trouble_manner'><p class='list-inline'><i class='icon icon-binfo8 icon-binfo mid'></i><span class='mid'>マナー</span></p></a></li></ul>	<h2 class='list-inline main-title mb20 mainBgClr'><span class='mid main-title-txt'>中国の関連リンク<small>※外部サイトへ移動します</small></span></h2><ul class='ft-list-menu mb30'><li><a href='http://www.china-embassy.or.jp/jpn/' target='_blank'>中華人民共和国大使館</a></li><li><a href='http://www.cnta-osaka.jp/' target='_blank'>中国国家観光局</a></li></ul>	3	5	http://www.hankyu-travel.com/dp/china/?area=ASI&country=CN&airport=JZH	http://www.hankyu-travel.com/dp/china/?area=ASI&country=CN&airport=JZH				/kaigai/asia/china/index.xml	http://www.hankyu-travel.com/heritage/china/jiuzhaigou.php		0	1	1	1	http://www.hankyu-travel.com/guide/china/jiuzhaigou.php		中国
