q_category	name	caption	guide_url	guide_image1	guide_image_alt1	sort
表示ページ	国名	キャプション	ガイドページURL	ガイド画像	ガイド画像ALT	順番
アジア	中国	長い歴史と広大な土地をもつ中国	http://www.hankyu-travel.com/guide/china/	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00000-BP16_-00694.jpg		1
アジア	韓国	グルメとショッピングで人気の韓国	http://www.hankyu-travel.com/guide/korea/	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00000-EBP07-02239.jpg		2
アジア	台湾	懐かしさとアジアパワーみなぎる台湾	http://www.hankyu-travel.com/guide/taiwan/	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00000-BP16_-05803.jpg		3
アジア	香港	層ビルが建ち並ぶ商業都市・香港	http://www.hankyu-travel.com/guide/hongkong/	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00000-BP15_-05313.jpg		4
アジア	マカオ	ポルトガルの郷愁漂う世界遺産の街	http://www.hankyu-travel.com/guide/hongkong/	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00000-SP12_-03634.jpg		5
アジア	タイ	笑顔がたえない微笑みの国タイ	http://www.hankyu-travel.com/guide/thailand/	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00140-webph-02096.jpg		6
アジア	ベトナム	プチパリの面影が残る国	http://www.hankyu-travel.com/guide/vietnam/	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00000-BP16_-02176.jpg		7
アジア	マレーシア	多彩な魅力溢れる国	http://www.hankyu-travel.com/guide/malaysia/	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00000-BP16_-01653.jpg		8
アジア	シンガポール	クリーンで近代的な国	http://www.hankyu-travel.com/guide/singapore/	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00140-webph-02513.jpg		9
アジア	インド	白大理石の霊廟タージ・マハル	http://www.hankyu-travel.com/guide/india/	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00449-webph-02260.jpg		10
アジア	モルディブ	島々が点在するインド洋の宝石箱	http://www.hankyu-travel.com/guide/s-pacific/	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00000-BP16_-07149.jpg		11
アジア	カンボジア	遺跡群が多数点在する	http://www.hankyu-travel.com/guide/cambodia/country.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00000-BP17_-01195.jpg		12
アジア	ネパール	神々が棲む国ネパール	http://www.hankyu-travel.com/guide/nepal/country.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00000-BP16_-05306.jpg		13
アジア	インドネシア	神々の島バリや人気のリゾート地クタ	http://www.hankyu-travel.com/guide/indonesia/country.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00000-BP16_-06792.jpg		14
ヨーロッパ	フランス	華やかな都パリなど魅力あふれる国	http://www.hankyu-travel.com/guide/france/	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00000-BP16_-07208.jpg		1
ヨーロッパ	イギリス	あらゆる文化と伝統が混在する国	http://www.hankyu-travel.com/guide/uk/	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00000-BP15_-02969.jpg		2
ヨーロッパ	イタリア	世界遺産や名物料理など魅力あふれる国	http://www.hankyu-travel.com/guide/italy/	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00000-BP16_-06319.jpg		3
ヨーロッパ	スイス	壮大な山々と、どこまでも澄んだ湖	http://www.hankyu-travel.com/guide/swiss/	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00000-EBP07-03067.jpg		4
ヨーロッパ	ドイツ	ロマンチック街道の宝石ローテンブルク	http://www.hankyu-travel.com/guide/germany/	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00000-BP15_-07155.jpg		5
ヨーロッパ	オランダ	色鮮やかな花とのどかな牧草地帯	http://www.hankyu-travel.com/guide/holland/	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan2.php?p_photo_mno=00000-BP16_-00869.jpg		6
