dirname	naigai	page_type	right_box_type	homen	country	first_level	second_level	senmon_name_ja	senmon_name_en	URL	Dest	Country	City	page_code	page_color	page_caption	page_caption_sp	map_not_display	map_default_display	csv_photo	csv_recommend	csv_free_area	csv_special	csv_keyword	csv_tourist_information	csv_yobi2	csv_yobi3	key_jiyuzin_tour_data_kyoten	key_jiyuzin_tour_data_csv_path	key_jiyuzin_tour_data_article_title	key_bus_tour_data_kyoten	key_bus_tour_data_csv_path	key_bus_tour_data_article_title	bus_tour_url	tag_country_common_info	tag_related_links	genchi_blog_disp_num_pc	genchi_blog_disp_num_sp	dp_link	dp_link_sp	search_mokuteki_country	search_mokuteki_country_unlimited_flag	search_mokuteki_country_initial_selection	blogGenchi_url	heritage_url	blog_new_rss_url	best7_display_flag	genchi_blog_display_flag	country_common_info_display_flag	sightseeing_info_display_flag	guide_more_url	guide_path	first_level_name
URI	内外	ページタイプA： ：B：DS)	階層タイプ	ディレクトリ名1(方面)	ディレクトリ名2(国)	ディレクトリ名2（国、都道府県）	ディレクトリ名3（都市、観光地）	専門店名	専門店名	URL	Dest	Country	City	page_code	page_color	page_caption	page_caption_sp	マップ非表示フラグ（0：表示,1：非表示）	マップのデフォルト表示	写真CSV	おすすめCSV	拠点自由枠のCSV	拠点特集枠のCSV	人気のキーワードCSV	観光情報	csv_yobi2	csv_yobi3	key_jiyuzin_tour_data_kyoten	key_jiyuzin_tour_data_csv_path	key_jiyuzin_tour_data_article_title	key_bus_tour_data_kyoten	key_bus_tour_data_csv_path	key_bus_tour_data_article_title	bus_tour_url	tag_country_common_info	tag_related_links	genchi_blog_disp_num_pc	genchi_blog_disp_num_sp	dp_link	dp_link_sp	検索枠目的地（国）	search_mokuteki_country_unlimited_flag	search_mokuteki_country_initial_selection	blogGenchi_url	heritage_url	新着ブログRSSURL	best7_display_flag	genchi_blog_display_flag	country_common_info_display_flag	sightseeing_info_display_flag	guide_more_url	guide_path	first_level_name
/hokkaido	d	A	homen	hokkaido/	hokkaido/	hokkaido/		北海道	Hokkaido	hokkaido/	10	01		pg_10-01	set03	北海道旅行・北海道ツアーなら阪急交通社。エキゾチックな函館、ロマンあふれる小樽、北の都・札幌。霧の摩周湖、日本のてっぺん宗谷岬、大人気の旭山動物園など、北海道は見所いっぱいです。	北海道旅行・ツアーなら阪急交通社。函館、小樽、札幌、摩周湖、宗谷岬、旭山動物園など北海道は見所いっぱいです。	0	札幌	/var/www/html/cms/articles/contents_d/csv/csv_hokkaido_ttl2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_tour2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_free_area2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_sp2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_key2014.csv	/var/www/html/hankyu-travel.com/attending/senmon_kokunai/setting/master_senmon_kokunaii_guide_2017.csv			spk_d	/csv/csv_jiyuhjin_tour.csv	全てのツアー	spk_d	/csv/csv_best10rank_bus.csv	日帰りツアー	/best10/bus/spk.php		<h2 class='list-inline main-title mb20 mainBgClr'><span class='mid main-title-txt'>北海道の関連リンク<small>※外部サイトへ移動します</small></span></h2><ul class='ft-list-menu mb30'><li><a href='http://www.visit-hokkaido.jp/' target='_blank'>【北海道】GoodDay北海道</a></li><li><a href='http://www.welcome.city.sapporo.jp/' target='_blank'>【札幌】ようこそさっぽろ</a></li><li><a href='http://hakodate-kankou.com/' target='_blank'>【函館】函館・南北海道観光ガイド</a></li><li><a href='http://otaru.gr.jp/' target='_blank'>【小樽】おたるぽーたる</a></li><li><a href='http://www.kushiro-kankou.or.jp/' target='_blank'>【釧路】釧路観光協会</a></li><li><a href='http://www.town.shari.hokkaido.jp/shiretoko/' target='_blank'>【知床】知床斜里町観光協会</a></li></ul>	5	5						/hokkaido/index.xml	http://www.hankyu-travel.com/heritage/japan/	/rss/hokkaido/index.xml						/guide/hokkaido/	北海道
/hokkaido/sapporo	d	A	city	hokkaido/		hokkaido/	sapporo/	札幌	Sapporo	hokkaido/sapporo/	10	01	01101	pg_10-01-01101	set01	札幌旅行・札幌ツアーなら阪急交通社。札幌のシンボル時計台、四季さまざまなイベントが行われる大通公園、夜の歓楽街すすきの。札幌ラーメンなどグルメも楽しみ。札幌は見所がいっぱいです。	札幌旅行・ツアーなら阪急交通社。札幌のシンボル時計台や大通公園、すすきのなどグルメも楽しみ。札幌は見所がいっぱいです。	0		/var/www/html/cms/articles/contents_d/csv/csv_hokkaido_ttl2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_tour2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_free_area2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_sp2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_key2014.csv	/var/www/html/hankyu-travel.com/attending/senmon_kokunai/setting/master_senmon_kokunaii_guide_2017.csv											<h2 class='list-inline main-title mb20 mainBgClr'><span class='mid main-title-txt'>北海道の関連リンク<small>※外部サイトへ移動します</small></span></h2><ul class='ft-list-menu mb30'><li><a href='http://www.visit-hokkaido.jp/' target='_blank'>【北海道】GoodDay北海道</a></li><li><a href='http://www.welcome.city.sapporo.jp/' target='_blank'>【札幌】ようこそさっぽろ</a></li><li><a href='http://hakodate-kankou.com/' target='_blank'>【函館】函館・南北海道観光ガイド</a></li><li><a href='http://otaru.gr.jp/' target='_blank'>【小樽】おたるぽーたる</a></li><li><a href='http://www.kushiro-kankou.or.jp/' target='_blank'>【釧路】釧路観光協会</a></li><li><a href='http://www.town.shari.hokkaido.jp/shiretoko/' target='_blank'>【知床】知床斜里町観光協会</a></li></ul>	5	5						/hokkaido/index.xml									北海道
/hokkaido/hakodate	d	A	city	hokkaido/		hokkaido/	hakodate/	函館	Hakodate	hokkaido/hakodate/	10	01	01001	pg_10-01-01001	set02	函館旅行・函館ツアーなら阪急交通社。海峡に浮かぶ銀河のように美しい函館山からの夜景、エキゾチックな建物が点在する元町、星形が美しい特別史跡・五稜郭など、函館は見所がいっぱいです。	函館旅行・ツアーなら阪急交通社。美しい函館山からの夜景、星形が美しい特別史跡・五稜郭など函館は見所がいっぱいです。	0		/var/www/html/cms/articles/contents_d/csv/csv_hokkaido_ttl2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_tour2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_free_area2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_sp2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_key2014.csv	/var/www/html/hankyu-travel.com/attending/senmon_kokunai/setting/master_senmon_kokunaii_guide_2017.csv											<h2 class='list-inline main-title mb20 mainBgClr'><span class='mid main-title-txt'>北海道の関連リンク<small>※外部サイトへ移動します</small></span></h2><ul class='ft-list-menu mb30'><li><a href='http://www.visit-hokkaido.jp/' target='_blank'>【北海道】GoodDay北海道</a></li><li><a href='http://www.welcome.city.sapporo.jp/' target='_blank'>【札幌】ようこそさっぽろ</a></li><li><a href='http://hakodate-kankou.com/' target='_blank'>【函館】函館・南北海道観光ガイド</a></li><li><a href='http://otaru.gr.jp/' target='_blank'>【小樽】おたるぽーたる</a></li><li><a href='http://www.kushiro-kankou.or.jp/' target='_blank'>【釧路】釧路観光協会</a></li><li><a href='http://www.town.shari.hokkaido.jp/shiretoko/' target='_blank'>【知床】知床斜里町観光協会</a></li></ul>	5	5						/hokkaido/index.xml									北海道
/hokkaido/otaru	d	A	city	hokkaido/		hokkaido/	otaru/	小樽	Otaru	hokkaido/otaru/	10	01	01010	pg_10-01-01010	set03	小樽旅行・小樽ツアーなら阪急交通社。運河の水面にガス灯がロマンチックな小樽運河、世界のランプやガラス工芸品が並ぶ小樽・北一硝子。人気の寿司屋通りなど、小樽は見所がいっぱいです。	小樽旅行・ツアーなら阪急交通社。運河の水面にガス灯がロマンチックな小樽運河や北一硝子など小樽は見所がいっぱいです。	0		/var/www/html/cms/articles/contents_d/csv/csv_hokkaido_ttl2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_tour2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_free_area2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_sp2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_key2014.csv	/var/www/html/hankyu-travel.com/attending/senmon_kokunai/setting/master_senmon_kokunaii_guide_2017.csv											<h2 class='list-inline main-title mb20 mainBgClr'><span class='mid main-title-txt'>北海道の関連リンク<small>※外部サイトへ移動します</small></span></h2><ul class='ft-list-menu mb30'><li><a href='http://www.visit-hokkaido.jp/' target='_blank'>【北海道】GoodDay北海道</a></li><li><a href='http://www.welcome.city.sapporo.jp/' target='_blank'>【札幌】ようこそさっぽろ</a></li><li><a href='http://hakodate-kankou.com/' target='_blank'>【函館】函館・南北海道観光ガイド</a></li><li><a href='http://otaru.gr.jp/' target='_blank'>【小樽】おたるぽーたる</a></li><li><a href='http://www.kushiro-kankou.or.jp/' target='_blank'>【釧路】釧路観光協会</a></li><li><a href='http://www.town.shari.hokkaido.jp/shiretoko/' target='_blank'>【知床】知床斜里町観光協会</a></li></ul>	1	5						/hokkaido/index.xml									北海道
/hokkaido/noboribetsu	d	A	city	hokkaido/		hokkaido/	noboribetsu/	登別	Noboribetsu	hokkaido/noboribetsu/	10	01	01109	pg_10-01-01109	set05	登別旅行・登別ツアーなら阪急交通社。北海道を代表する温泉地・登別温泉。蒸気が噴いている登別の地獄谷や熊を身近に見られる「のぼりべつクマ牧場」など、登別は見所いっぱいです。	登別旅行・ツアーなら阪急交通社。蒸気が噴いている登別の地獄谷や熊を身近に見られるクマ牧場など登別は見所いっぱいです。	0		/var/www/html/cms/articles/contents_d/csv/csv_hokkaido_ttl2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_tour2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_free_area2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_sp2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_key2014.csv	/var/www/html/hankyu-travel.com/attending/senmon_kokunai/setting/master_senmon_kokunaii_guide_2017.csv											<h2 class='list-inline main-title mb20 mainBgClr'><span class='mid main-title-txt'>北海道の関連リンク<small>※外部サイトへ移動します</small></span></h2><ul class='ft-list-menu mb30'><li><a href='http://www.visit-hokkaido.jp/' target='_blank'>【北海道】GoodDay北海道</a></li><li><a href='http://www.welcome.city.sapporo.jp/' target='_blank'>【札幌】ようこそさっぽろ</a></li><li><a href='http://hakodate-kankou.com/' target='_blank'>【函館】函館・南北海道観光ガイド</a></li><li><a href='http://otaru.gr.jp/' target='_blank'>【小樽】おたるぽーたる</a></li><li><a href='http://www.kushiro-kankou.or.jp/' target='_blank'>【釧路】釧路観光協会</a></li><li><a href='http://www.town.shari.hokkaido.jp/shiretoko/' target='_blank'>【知床】知床斜里町観光協会</a></li></ul>	1	5						/hokkaido/index.xml									北海道
/hokkaido/furano	d	A	city	hokkaido/		hokkaido/	furano/	富良野・美瑛	Furano · Biei	hokkaido/furano/	10	01	01202	pg_10-01-01202	set06	富良野旅行・美瑛旅行なら阪急交通社。夏空に、ラベンダーや色とりどりの花が咲き揃う富良野。ゆるやかな丘にのどかな牧歌的風景が広がる美瑛など、富良野・美瑛は見所いっぱいです。	富良野旅行・美瑛旅行なら阪急交通社。ラベンダーや色とりどりの花が咲き揃う富良野をはじめ富良野・美瑛は見所いっぱいです。	0		/var/www/html/cms/articles/contents_d/csv/csv_hokkaido_ttl2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_tour2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_free_area2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_sp2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_key2014.csv	/var/www/html/hankyu-travel.com/attending/senmon_kokunai/setting/master_senmon_kokunaii_guide_2017.csv											<h2 class='list-inline main-title mb20 mainBgClr'><span class='mid main-title-txt'>北海道の関連リンク<small>※外部サイトへ移動します</small></span></h2><ul class='ft-list-menu mb30'><li><a href='http://www.visit-hokkaido.jp/' target='_blank'>【北海道】GoodDay北海道</a></li><li><a href='http://www.welcome.city.sapporo.jp/' target='_blank'>【札幌】ようこそさっぽろ</a></li><li><a href='http://hakodate-kankou.com/' target='_blank'>【函館】函館・南北海道観光ガイド</a></li><li><a href='http://otaru.gr.jp/' target='_blank'>【小樽】おたるぽーたる</a></li><li><a href='http://www.kushiro-kankou.or.jp/' target='_blank'>【釧路】釧路観光協会</a></li><li><a href='http://www.town.shari.hokkaido.jp/shiretoko/' target='_blank'>【知床】知床斜里町観光協会</a></li></ul>	1	5						/hokkaido/index.xml									北海道
/hokkaido/wakkanai	d	A	city	hokkaido/		hokkaido/	wakkanai/	稚内	Wakkanai	hokkaido/wakkanai/	10	01	01212	pg_10-01-01212	set07	稚内旅行・稚内ツアーなら阪急交通社。日本最北端の街・稚内。遠くサハリンの島影を望む宗谷岬や日本海に浮かぶ秀峰・利尻富士を望むノシャップ岬など、稚内は見所いっぱいです。	稚内旅行・ツアーなら阪急交通社。遠くサハリンの島影を望む宗谷岬やノシャップ岬など稚内は見所いっぱいです。	0		/var/www/html/cms/articles/contents_d/csv/csv_hokkaido_ttl2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_tour2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_free_area2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_sp2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_key2014.csv	/var/www/html/hankyu-travel.com/attending/senmon_kokunai/setting/master_senmon_kokunaii_guide_2017.csv											<h2 class='list-inline main-title mb20 mainBgClr'><span class='mid main-title-txt'>北海道の関連リンク<small>※外部サイトへ移動します</small></span></h2><ul class='ft-list-menu mb30'><li><a href='http://www.visit-hokkaido.jp/' target='_blank'>【北海道】GoodDay北海道</a></li><li><a href='http://www.welcome.city.sapporo.jp/' target='_blank'>【札幌】ようこそさっぽろ</a></li><li><a href='http://hakodate-kankou.com/' target='_blank'>【函館】函館・南北海道観光ガイド</a></li><li><a href='http://otaru.gr.jp/' target='_blank'>【小樽】おたるぽーたる</a></li><li><a href='http://www.kushiro-kankou.or.jp/' target='_blank'>【釧路】釧路観光協会</a></li><li><a href='http://www.town.shari.hokkaido.jp/shiretoko/' target='_blank'>【知床】知床斜里町観光協会</a></li></ul>	1	5						/hokkaido/index.xml									北海道
/hokkaido/rishiri	d	A	city	hokkaido/		hokkaido/	rishiri/	利尻島・礼文島	Rishiri Island · Rebun Island	hokkaido/rishiri/	10	01	01206	pg_10-01-01206	set08	利尻島旅行・礼文島旅行なら阪急交通社。「利尻富士」といわれる利尻山を望みながらのハイキングや「花の浮島」とも呼ばれる礼文島での散策など、利尻島・礼文島は見所いっぱいです。	利尻島旅行・礼文島旅行なら阪急交通社。利尻山を望みながらのハイキングや礼文島の散策など利尻島・礼文島は見所いっぱいです。	0		/var/www/html/cms/articles/contents_d/csv/csv_hokkaido_ttl2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_tour2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_free_area2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_sp2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_key2014.csv	/var/www/html/hankyu-travel.com/attending/senmon_kokunai/setting/master_senmon_kokunaii_guide_2017.csv											<h2 class='list-inline main-title mb20 mainBgClr'><span class='mid main-title-txt'>北海道の関連リンク<small>※外部サイトへ移動します</small></span></h2><ul class='ft-list-menu mb30'><li><a href='http://www.visit-hokkaido.jp/' target='_blank'>【北海道】GoodDay北海道</a></li><li><a href='http://www.welcome.city.sapporo.jp/' target='_blank'>【札幌】ようこそさっぽろ</a></li><li><a href='http://hakodate-kankou.com/' target='_blank'>【函館】函館・南北海道観光ガイド</a></li><li><a href='http://otaru.gr.jp/' target='_blank'>【小樽】おたるぽーたる</a></li><li><a href='http://www.kushiro-kankou.or.jp/' target='_blank'>【釧路】釧路観光協会</a></li><li><a href='http://www.town.shari.hokkaido.jp/shiretoko/' target='_blank'>【知床】知床斜里町観光協会</a></li></ul>	2	5						/hokkaido/index.xml									北海道
/hokkaido/shiretoko	d	A	city	hokkaido/		hokkaido/	shiretoko/	知床	Shiretoko	hokkaido/shiretoko/	10	01	01302	pg_10-01-01302	set09	知床旅行・知床ツアーなら阪急交通社。世界自然遺産の知床。流れる水が海に落下するオシンコシンの滝や湖面が美しい知床五湖、海からしか観光できない知床岬など、知床は見所いっぱいです。	知床旅行・ツアーなら阪急交通社。流れる水が海に落下するオシンコシンの滝や知床五湖など知床は見所いっぱいです。	0		/var/www/html/cms/articles/contents_d/csv/csv_hokkaido_ttl2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_tour2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_free_area2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_sp2017.csv	/var/www/html/cms/articles/###KYOTEN###/csv/csv_hokkaido_key2014.csv	/var/www/html/hankyu-travel.com/attending/senmon_kokunai/setting/master_senmon_kokunaii_guide_2017.csv											<h2 class='list-inline main-title mb20 mainBgClr'><span class='mid main-title-txt'>北海道の関連リンク<small>※外部サイトへ移動します</small></span></h2><ul class='ft-list-menu mb30'><li><a href='http://www.visit-hokkaido.jp/' target='_blank'>【北海道】GoodDay北海道</a></li><li><a href='http://www.welcome.city.sapporo.jp/' target='_blank'>【札幌】ようこそさっぽろ</a></li><li><a href='http://hakodate-kankou.com/' target='_blank'>【函館】函館・南北海道観光ガイド</a></li><li><a href='http://otaru.gr.jp/' target='_blank'>【小樽】おたるぽーたる</a></li><li><a href='http://www.kushiro-kankou.or.jp/' target='_blank'>【釧路】釧路観光協会</a></li><li><a href='http://www.town.shari.hokkaido.jp/shiretoko/' target='_blank'>【知床】知床斜里町観光協会</a></li></ul>	3	5						/hokkaido/index.xml	http://www.hankyu-travel.com/heritage/japan/shiretoko.php								北海道
