q_category	name	caption	guide_url	guide_image1	guide_image_alt1	sort
表示ページ	国名	キャプション	ガイドページURL	ガイド画像	ガイド画像ALT	順番
北海道	北海道	大自然に囲まれた広大な大地、北海道。白銀に覆われた季節はもちろん、新緑が輝く夏もおすすめです。	http://www.hankyu-travel.com/guide/hokkaido/	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan4.php?p_photo_mno=00021-EBP09-07648.jpg		1
北海道	札幌	北の大地の玄関口、札幌。YOSAKOIソーラン祭りやさっぽろ雪まつりなどイベントも盛りだくさんです。	http://www.hankyu-travel.com/guide/hokkaido/sapporo.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan4.php?p_photo_mno=00000-BP15_-01154.jpg		2
北海道	函館	いち早く世界に開かれた港町・函館は、レトロな赤レンガ倉庫や夜景の美しい函館山など見所がいっぱいです。	http://www.hankyu-travel.com/guide/hokkaido/hakodate.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan4.php?p_photo_mno=00699-BL13--00014.jpg		3
北海道	小樽	ガラス工芸の街・小樽。夜間は小樽運河にガス灯がともり、ライトアップされる倉庫群はロマンチックです。	http://www.hankyu-travel.com/guide/hokkaido/center.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan4.php?p_photo_mno=00056-ALLUP-44874.jpg		4
北海道	旭山動物園	日本最北の動物園ながらユニークな催しで大人気の動物園。動物たちの生き生きとした姿を見に行こう♪	http://www.hankyu-travel.com/guide/hokkaido/hiking.php			
北海道	登別			http://x.hankyu-travel.com/cms_photo_image/image_search_kikan4.php?p_photo_mno=00000-BL15_-00348.jpg		5
北海道	富良野・美瑛	広い夏の空に、色とりどりの花が鮮やかに咲き揃う風景が感動的な富良野・美瑛。ラベンダー畑や美瑛の丘は必見です。	http://www.hankyu-travel.com/guide/hokkaido/north.php			
北海道	稚内			http://x.hankyu-travel.com/cms_photo_image/image_search_kikan4.php?p_photo_mno=00312-ALLUP-40706.jpg		6
北海道	利尻島・礼文島	湿性植物や高山植物が咲き乱れる利尻島・礼文島。花の浮島ベストシーズンに、絶景をめざして登山もおすすめ。	http://www.hankyu-travel.com/guide/hokkaido/rishiri.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan4.php?p_photo_mno=00000-BL16_-00472.jpg		7
北海道	知床		http://www.hankyu-travel.com/guide/hokkaido/shiretoko.php			8
北海道	ニセコ					
北海道	帯広・十勝					
東北	青森	本州の最北端にある青森。世界遺産の白神山地や奥入瀬渓流など、豊かな自然に恵まれています。	http://www.hankyu-travel.com/guide/tohoku/aomori.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan4.php?p_photo_mno=00000-BL15_-00399.jpg		1
東北	岩手	童話作家、宮沢賢治を育んだ岩手。県庁所在地の盛岡は、わんこそばや冷麺などの食文化でも知られます。	http://www.hankyu-travel.com/guide/tohoku/iwate.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan4.php?p_photo_mno=00000-BP16_-03595.jpg		2
東北	宮城	城下町として繁栄した宮城・仙台では、伊達家ゆかりの史跡めぐりや牛タンなどのグルメが楽しめます。	http://www.hankyu-travel.com/guide/tohoku/miyagi.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan4.php?p_photo_mno=00021-EBP10-03787.jpg		3
東北	秋田	7割が森林という「森の国」秋田。世界自然遺産にも登録された白神山地や大曲で行われる全国花火競技大会は必見です。	http://www.hankyu-travel.com/guide/tohoku/akita.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan4.php?p_photo_mno=00000-BL13_-00044.jpg		4
東北	山形	桜の名所の鶴岡公園や、樹氷やスキーの基地として賑わう蔵王など、山形では季節によって様々な景観を楽しむことができます。	http://www.hankyu-travel.com/guide/tohoku/yamagata.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan4.php?p_photo_mno=00000-BP15_-06750.jpg		5
東北	福島	磐梯山や安達太良山、猪苗代湖などの豊かな自然に恵まれた福島。城下町の風情を色濃く残す歴史都市も多く点在しています。	http://www.hankyu-travel.com/guide/tohoku/fukushima.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan4.php?p_photo_mno=00000-BL15_-00697.jpg		6
関東	東京	東京スカイツリー®をはじめ多くの観光地を楽しめるのはもちろん、グルメシティ・東京ではあらゆる「うまいもの」が味わえます。	http://www.hankyu-travel.com/guide/tokyo/	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan4.php?p_photo_mno=00032-EBP08-04886.jpg		1
関東	神奈川	風光明媚な温泉リゾートの箱根、歴史に彩られた古都鎌倉など、神奈川には多くの観光地があります。	http://www.hankyu-travel.com/guide/kanto/kanagawa.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan4.php?p_photo_mno=00021-EBP10-02700.jpg		2
関東	千葉	人気のマザー牧場や温暖な地・南房総など、千葉にはテーマパークから自然まで観光スポットが豊富です。	http://www.hankyu-travel.com/guide/kanto/chiba.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan4.php?p_photo_mno=00000-SP15_-11972.jpg		3
関東	埼玉	「彩の国」埼玉。大都市の景観を持ちながら自然が色濃く残る地域もあり、四季の彩りや伝統文化を楽しむことができます。	http://www.hankyu-travel.com/guide/kanto/saitama.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan4.php?p_photo_mno=00699-EBP16-00010.jpg		4
関東	茨城	全国有数の梅の名所として名高い偕楽園をはじめ、茨城は御三家・三名園・三名瀑の三づくしです。	http://www.hankyu-travel.com/guide/kanto/ibaraki.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan4.php?p_photo_mno=00000-BP13_-02679.jpg		5
関東	栃木	世界遺産の日光東照宮や四季折々の花々が楽しめるあしかがフラワーパークなど栃木は見どころ豊富です。	http://www.hankyu-travel.com/guide/kanto/tochigi.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan4.php?p_photo_mno=00410-webbn-17339.jpg		6
関東	群馬	大自然の景観と全国屈指の名湯満喫できる群馬。世界遺産に登録された富岡製糸場もあります。	http://www.hankyu-travel.com/guide/kanto/gunma.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan4.php?p_photo_mno=00000-BP12_-00414.jpg		7
中部・北陸	愛知	尾張徳川家と「ものづくり王国」の地・愛知。ひつまぶしや小倉トーストなどの名古屋めしも見逃せません。	http://www.hankyu-travel.com/guide/tokai/aichi.php	http://x.hankyu-travel.com/cms_photo_image/image_search_kikan4.php?p_photo_mno=00032-EBP09-10412.jpg		1
